N,P,K,temperature,humidity,ph,rainfall,label
98.43723663294956,17.90962031596648,55.09496126716323,27.290750716489868,96.97189365496023,5.790006023942377,21.033894013964826,muskmelon
83.76827535826152,21.70800254716135,54.07610851143749,28.085094422748234,89.1007179706153,6.472718987866933,60.86095706440111,watermelon
49.300534869658016,48.38497952506382,55.64118927150541,33.82132826905791,96.84249401312438,7.6736922407019605,140.20307369539015,papaya
51.08947633023703,53.29351279775831,53.47254789746542,32.896524296335414,85.4285745109594,6.7006995544555625,124.59929493297523,papaya
20.06781792089223,145.0,175.41654183882807,23.334437878609055,95.7624168853711,5.73412279512913,115.62016574358476,apple
0.6654386591703759,29.885360919175696,31.675271759560857,30.423874403297443,45.183018294007155,5.886883209123993,85.9734564001218,mango
22.68037706252673,140.84714854049892,210.0,21.32786660698852,85.43755654831844,5.720816319246126,109.53895728219985,apple
28.487158415898133,52.77152910065402,24.290070976510727,27.59495154587034,56.357655858645266,7.144889404754791,49.05551040895307,mothbeans
22.053342326015553,48.379947746013144,17.512137508453932,30.678698228463205,89.13306818631536,6.49748767029937,69.39207766974178,mungbean
18.230473865126562,52.760444367914886,17.67381229764899,21.801910496890255,69.81962711527785,6.762360788695068,56.96081482888297,lentil
39.35163228222605,66.24264438119232,13.632072257017004,35.17581794706137,60.37206442984015,7.252693667585003,63.73527678387333,blackgram
27.193635297210914,4.868158270627118,34.13828754867599,28.049585151002642,99.07971442171102,5.823199030624446,162.56284771834893,coconut
20.865360322161642,15.279306094608197,35.7777376040114,21.99657169266187,92.30412432701932,6.053558750916143,97.14000293483507,pomegranate
77.36250078320822,49.08819694966848,37.640581545022926,24.703141197871627,75.77018483685374,6.960904937865751,197.15115506182437,jute
25.23802991283535,11.659305286657021,18.928659070577243,28.57203458162842,96.60455304505692,5.939923851956167,170.36134138550906,coconut
16.22077264731804,16.87534383014177,44.1755926056451,19.375673597608966,91.65959223853943,5.468855658667176,105.4014073768486,pomegranate
21.18781675690556,143.49641498616535,194.2025160380788,21.97526812351527,88.25954508575668,5.363296282849568,93.57429428562594,apple
84.20672097550678,57.507146187584674,23.802073280721487,23.700443484226987,60.48205341392114,6.076353414319,83.26009713546937,maize
44.10645502638561,68.26015684647966,47.548836583307846,34.89189555425061,89.93280598811745,7.145756598962666,136.36699055520413,papaya
96.80092721997086,20.381093188168382,57.902892659252075,30.28005323676866,100.0,6.532245304436163,22.514846546670455,muskmelon
120.85226535671356,35.68927475663241,43.49020228408713,26.549546780148713,55.5217562356033,7.068601314093238,146.7246857948258,coffee
